country_code,country_name,flag_path,anthem_music_path,anthem_text_path,anthem_keywords
la,Laos (Lao People's Democratic Republic),flag_images\la.jpg,anthems_music\la.mp3,anthems_text\la.txt,"[('lao', 4), ('people', 4), ('nation', 2), ('time', 1), ('glorified', 1), ('fatherland', 1), ('united', 1), ('heart', 1), ('spirit', 1), ('vigour', 1)]"
mw,Malawi,flag_images\mw.jpg,anthems_music\mw.mp3,anthems_text\mw.txt,"[('malawi', 6), ('one', 4), ('land', 3), ('free', 3), ('bless', 2), ('peace', 2), ('every', 2), ('fair', 2), ('us', 2), ('time', 2)]"
cr,Costa Rica,flag_images\cr.jpg,anthems_music\cr.mp3,anthems_text\cr.txt,"[('hail', 3), ('homeland', 2), ('us', 2), ('limpid', 2), ('blue', 2), ('gained', 2), ('eternal', 2), ('renown', 2), ('esteem', 2), ('honour', 2)]"
np,Nepal,flag_images\np.jpg,anthems_music\np.mp3,anthems_text\np.txt,"[('hundreds', 2), ('flowers', 2), ('one', 2), ('garland', 2), ('nepali', 2), ('sovereign', 2), ('spread', 2), ('mechi', 2), ('mahakali', 2), ('land', 2)]"
pf,French Polynesia,flag_images\pf.jpg,anthems_music\pf.mp3,anthems_text\pf.txt,"[('god', 1), ('created', 1), ('country', 1), ('garland', 1), ('multiple', 1), ('islands', 1), ('delicate', 1), ('fragrances', 1), ('linked', 1), ('everlasting', 1)]"
pg,Papua New Guinea,flag_images\pg.jpg,anthems_music\pg.mp3,anthems_text\pg.txt,"[('papua', 6), ('new', 6), ('guinea', 6), ('free', 3), ('land', 2), ('let', 2), ('us', 2), ('shout', 2), ('arise', 1), ('sons', 1)]"
tm,Turkmenistan,flag_images\tm.jpg,anthems_music\tm.mp3,anthems_text\tm.txt,"[('native', 2), ('land', 2), ('flies', 2), ('great', 2), ('ever', 2), ('us', 2), ('ready', 1), ('give', 1), ('life', 1), ('hearth', 1)]"
ki,Kiribati,flag_images\ki.jpg,anthems_music\ki.mp3,anthems_text\ki.txt,"[('people', 5), ('love', 4), ('one', 3), ('help', 2), ('steadfastly', 2), ('righteous', 2), ('another', 2), ('promote', 2), ('happiness', 2), ('unity', 2)]"
sk,Slovakia,flag_images\sk.jpg,anthems_music\sk.mp3,anthems_text\sk.txt,"[('lightning', 4), ('tatras', 2), ('thunderclaps', 2), ('wildly', 2), ('beat', 2), ('let', 2), ('us', 2), ('stop', 2), ('brothers', 2), ('disappear', 2)]"
il,Israel,flag_images\il.jpg,anthems_music\il.mp3,anthems_text\il.txt,"[('land', 4), ('zion', 3), ('hope', 2), ('free', 2), ('people', 2), ('jerusalem', 2), ('long', 1), ('deep', 1), ('heart', 1), ('soul', 1)]"
ci,Côte d'Ivoire,flag_images\ci.jpg,anthems_music\ci.mp3,anthems_text\ci.txt,"[('thy', 5), ('hope', 2), ('country', 2), ('ivory', 2), ('coast', 2), ('proud', 2), ('salute', 1), ('land', 1), ('hospitality', 1), ('gallant', 1)]"
tv,Tuvalu,flag_images\tv.jpg,anthems_music\tv.mp3,anthems_text\tv.txt,"[('song', 3), ('evermore', 3), ('trust', 2), ('us', 2), ('king', 2), ('shore', 2), ('words', 1), ('hold', 1), ('dear', 1), ('people', 1)]"
tz,"Tanzania, United Republic of",flag_images\tz.jpg,anthems_music\tz.mp3,anthems_text\tz.txt,"[('bless', 10), ('africa', 5), ('tanzania', 5), ('god', 3), ('unity', 2), ('people', 2), ('children', 2), ('leaders', 1), ('let', 1), ('wisdom', 1)]"
gq,Equatorial Guinea,flag_images\gq.jpg,anthems_music\gq.mp3,anthems_text\gq.txt,"[('preserve', 5), ('sing', 4), ('liberty', 4), ('free', 4), ('guinea', 4), ('always', 3), ('without', 2), ('cry', 2), ('long', 2), ('live', 2)]"
